Zip Code,Total Students,Cuban,Mexican,Puerto Rican,Other Hispanic or Latino,Non-Hispanic or Latino,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Other,I do not wish to respond – race,I do not wish to respond – ethnicity
0000 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
01001 Total,90,0,0,5,4,80,2,9,5,1,75,0,0,1
01002 Total,106,0,1,9,9,90,5,20,9,1,86,0,0,0
01005 Total,5,0,0,0,1,4,0,0,0,0,4,0,0,0
01007 Total,98,0,1,1,1,91,6,3,8,1,86,0,0,1
01008 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
01009 Total,5,0,0,0,1,3,0,0,0,0,4,0,0,1
01010 Total,8,0,0,1,0,7,0,1,0,0,8,0,0,0
01010 Total,13,0,0,1,0,12,0,0,1,0,13,0,0,0
01011 Total,5,0,0,0,0,5,0,0,0,0,4,0,0,0
01012 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
01013 Total,61,0,2,14,3,43,0,5,6,3,42,0,2,0
01020 Total,92,0,0,11,3,76,1,2,6,1,77,0,3,1
01022 Total,2,0,0,1,1,0,0,0,1,0,0,0,0,0
01026 Total,5,0,0,0,0,4,0,0,0,0,4,0,0,1
01027 Total,75,1,1,4,1,69,1,10,2,0,65,0,1,0
01028 Total,108,0,0,5,3,98,2,11,9,0,86,0,0,0
01030 Total,72,0,1,3,2,64,4,2,1,1,67,0,1,1
01031 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01032 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01033 Total,55,0,0,0,1,53,0,18,0,2,37,0,1,1
01034 Total,7,0,0,1,0,5,0,0,0,1,6,0,0,0
01035 Total,33,0,0,2,0,30,0,4,0,0,28,0,1,1
01036 Total,24,0,0,1,0,23,0,1,0,0,23,0,0,0
01037 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01038 Total,7,0,0,0,1,6,1,1,1,0,7,0,0,0
01039 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01040 Total,86,0,2,33,5,45,1,4,10,2,48,0,5,2
01050 Total,6,0,0,0,1,5,0,0,0,0,6,0,0,0
01053 Total,8,0,0,0,0,8,0,0,0,0,8,0,0,0
01054 Total,8,0,0,0,0,8,0,0,0,0,7,0,1,0
01056 Total,106,0,0,2,5,94,3,0,2,0,102,0,0,1
01057 Total,39,0,0,0,0,39,4,1,0,0,36,0,0,0
01060 Total,55,0,1,4,6,43,1,8,2,1,42,0,1,0
01062 Total,52,0,1,1,3,47,1,4,1,0,48,0,0,0
01066 Total,4,0,0,0,0,4,0,1,0,0,4,0,0,0
01068 Total,3,0,0,1,1,1,0,0,0,0,2,0,0,0
01069 Total,46,0,0,1,0,45,2,4,1,0,42,0,0,0
01070 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
01071 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
01072 Total,7,0,0,1,0,6,0,0,2,0,7,0,0,0
01073 Total,29,0,1,0,0,26,0,1,1,0,28,0,0,1
01075 Total,82,1,0,3,1,76,1,6,2,1,75,0,2,0
01077 Total,44,0,0,2,0,38,1,1,0,0,39,0,3,1
01079 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01080 Total,14,0,0,3,0,11,2,1,2,0,12,0,0,0
01081 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
01082 Total,46,0,1,1,2,40,1,1,1,0,44,0,0,1
01083 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
01084 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01085 Total,185,0,2,15,5,160,3,13,10,5,154,0,2,2
01088 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01089 Total,133,0,2,13,10,110,1,13,8,2,101,0,2,1
01090 Total,2,0,0,0,0,2,1,0,0,0,2,0,0,0
01092 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01093 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
01095 Total,152,0,1,6,4,135,5,25,8,1,114,0,4,6
01096 Total,10,0,0,1,0,9,1,0,0,0,9,0,1,0
01098 Total,1,0,0,0,0,1,0,0,1,0,0,0,0,0
01101 Total,5,0,0,2,1,2,1,1,3,2,4,0,0,0
01103 Total,1,0,0,1,0,0,0,0,0,0,0,0,1,0
01104 Total,96,1,2,56,10,28,7,4,29,4,33,0,2,1
01105 Total,24,0,1,8,4,10,1,3,10,2,2,0,1,2
01106 Total,125,0,2,5,4,112,1,12,7,0,107,0,3,5
01107 Total,42,1,5,27,3,8,4,1,11,3,10,0,0,0
01108 Total,106,3,1,29,10,62,6,18,36,3,31,0,1,1
01109 Total,88,1,2,35,6,39,4,4,41,5,21,0,3,5
01118 Total,74,0,0,16,3,53,6,7,21,3,38,0,2,2
01119 Total,37,0,1,13,4,22,5,0,15,0,15,0,1,0
01128 Total,9,0,0,1,0,8,0,1,4,0,5,0,0,0
01129 Total,34,0,0,12,5,17,0,1,10,1,18,0,1,1
01138 Total,1,0,0,1,0,0,0,0,0,0,0,0,0,0
01151 Total,19,0,0,8,2,7,2,1,8,0,6,0,0,2
01188 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01201 Total,216,0,3,8,21,180,10,17,36,3,164,0,3,2
01202 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
01220 Total,39,0,0,0,0,38,1,3,1,0,36,0,0,0
01222 Total,6,0,0,0,0,6,0,0,0,0,6,0,0,0
01223 Total,12,0,0,1,1,9,3,0,0,0,11,0,0,0
01225 Total,7,0,0,0,0,7,1,0,0,0,7,0,0,0
01226 Total,57,0,0,0,1,55,2,1,2,0,55,0,0,0
01227 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01229 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01230 Total,33,0,0,1,1,29,1,1,3,0,28,0,0,2
01235 Total,18,0,1,0,0,16,0,0,1,0,18,0,0,0
01236 Total,13,0,1,0,1,11,2,0,2,0,13,0,0,0
01237 Total,13,0,0,0,0,11,0,0,0,0,11,0,2,2
01238 Total,22,0,1,0,0,21,0,2,0,0,20,0,0,0
01240 Total,24,0,1,0,1,21,0,0,1,0,21,0,0,1
01242 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
01243 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
01244 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
01245 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01247 Total,53,2,0,1,2,48,1,2,2,0,49,0,0,0
01253 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01254 Total,1,0,0,0,0,1,0,1,0,1,1,0,0,0
01255 Total,3,0,0,0,0,3,0,1,0,0,3,0,0,0
01256 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
01257 Total,13,0,1,0,2,9,1,1,2,0,9,0,1,0
01259 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01260 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01262 Total,5,0,0,0,0,5,1,0,0,0,4,0,0,0
01264 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01266 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
01267 Total,41,0,2,0,2,37,1,3,0,0,38,0,0,0
01270 Total,4,0,0,0,0,4,0,1,0,0,3,0,0,0
01301 Total,68,0,0,3,3,59,0,7,4,0,55,0,3,3
01330 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
01331 Total,9,0,0,0,0,9,0,0,0,0,8,0,0,0
01337 Total,11,0,0,0,0,11,0,0,1,0,11,0,0,0
01338 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
01339 Total,11,0,0,0,0,11,0,0,1,0,11,0,0,0
01340 Total,6,0,1,0,0,4,0,0,1,0,5,0,0,1
01341 Total,5,0,0,0,0,4,0,0,0,0,5,0,0,0
01342 Total,13,0,0,0,0,12,0,5,1,0,6,0,1,1
01343 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
01344 Total,10,0,0,0,0,10,0,0,0,0,10,0,0,0
01346 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
01349 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
01351 Total,6,0,0,1,0,5,0,0,0,0,6,0,0,0
01354 Total,62,1,0,0,0,59,2,18,5,1,38,0,1,2
01355 Total,5,0,0,0,0,5,0,1,0,0,4,0,0,0
01360 Total,16,0,0,0,0,16,0,0,2,0,15,0,0,0
01364 Total,28,0,0,4,1,24,1,1,0,2,27,0,0,0
01366 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
01367 Total,5,0,0,0,1,4,0,0,0,0,4,0,0,0
01368 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01370 Total,22,0,1,1,1,19,0,0,0,0,22,0,0,0
01373 Total,30,0,1,2,0,26,0,1,2,0,30,0,0,0
01375 Total,13,0,0,1,1,11,0,0,0,0,12,0,0,0
01376 Total,13,0,0,2,1,11,0,0,0,0,11,0,0,0
01379 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
01420 Total,22,0,1,5,2,14,2,1,3,0,17,0,0,0
01430 Total,9,0,0,0,0,9,0,3,0,0,6,0,0,0
01431 Total,3,0,0,0,0,3,0,0,1,0,3,0,0,0
01432 Total,8,0,0,1,1,5,0,0,1,0,8,0,0,0
01434 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
01436 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
01440 Total,11,0,0,1,0,10,0,1,1,0,9,0,0,0
01450 Total,35,0,0,0,3,32,1,3,0,0,33,0,0,0
01451 Total,9,0,0,0,2,7,0,1,0,0,8,0,0,0
01452 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
01453 Total,34,0,0,4,2,28,1,1,6,0,27,0,0,0
01460 Total,6,0,0,0,0,6,0,2,0,0,3,0,0,0
01462 Total,13,0,0,1,0,11,0,0,1,0,11,0,1,1
01463 Total,10,0,0,0,0,10,0,0,1,0,10,0,0,0
01464 Total,11,0,0,1,0,9,0,3,0,0,10,0,0,0
01468 Total,6,0,0,0,0,6,0,0,0,0,6,0,0,0
01469 Total,9,0,0,0,0,9,0,0,1,0,9,0,0,0
01473 Total,8,0,0,0,2,6,0,0,0,0,8,0,0,0
01474 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
01475 Total,10,0,0,1,0,9,0,1,0,1,9,0,0,0
01501 Total,14,0,0,0,1,13,0,1,0,0,13,0,0,0
01503 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01504 Total,22,0,0,0,1,20,0,2,1,0,20,0,0,1
01505 Total,11,0,0,1,0,9,0,2,1,0,7,0,1,1
01506 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
01507 Total,19,0,0,1,0,16,0,0,1,0,18,0,0,2
01508 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01510 Total,15,0,0,0,4,11,0,1,2,0,10,0,0,0
01515 Total,3,0,0,0,0,3,1,0,0,0,3,0,0,0
01516 Total,14,0,0,0,1,13,0,0,0,0,14,0,0,0
01518 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
01519 Total,13,0,0,0,0,12,0,0,1,0,12,0,1,1
01520 Total,44,0,1,1,0,41,1,4,0,0,39,0,0,1
01521 Total,4,0,0,0,0,3,0,0,0,0,3,0,1,1
01522 Total,10,0,0,0,0,10,0,1,1,0,9,0,0,0
01523 Total,6,0,0,1,1,5,0,1,2,0,3,0,1,0
01524 Total,11,0,0,0,0,11,0,3,0,0,9,0,0,0
01525 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01527 Total,17,0,0,0,1,15,0,1,0,0,15,0,1,1
01529 Total,9,0,0,0,1,8,0,0,0,0,8,0,0,0
01532 Total,24,0,0,0,1,22,1,2,1,0,21,0,0,1
01534 Total,8,0,0,0,0,8,0,0,0,0,8,0,0,0
01535 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
01536 Total,10,0,0,0,0,9,0,2,0,0,8,0,0,0
01537 Total,2,0,0,0,1,1,0,0,0,0,1,0,0,0
01540 Total,14,0,0,1,0,13,0,0,1,0,12,0,0,0
01541 Total,8,0,0,0,0,8,1,0,0,0,7,0,0,0
01543 Total,23,0,0,0,2,21,0,2,0,0,21,0,0,0
01545 Total,62,0,0,0,5,56,1,16,2,1,44,0,1,1
01550 Total,12,1,0,5,0,7,1,0,2,0,8,0,0,0
01560 Total,9,0,0,0,0,8,0,1,1,0,7,0,1,1
01561 Total,1,0,0,0,0,1,0,1,0,0,1,0,0,0
01562 Total,7,0,0,1,0,6,0,0,1,0,6,0,0,0
01564 Total,15,0,0,0,0,15,1,1,0,0,14,0,0,0
01566 Total,6,0,0,1,0,5,0,0,0,0,6,0,0,0
01568 Total,12,0,0,0,0,12,0,1,1,0,11,0,0,0
01569 Total,22,0,0,0,1,21,0,1,1,0,20,0,0,0
01570 Total,18,0,0,2,1,15,1,1,1,0,13,0,0,0
01571 Total,14,0,0,2,0,12,1,0,0,0,14,0,0,0
01581 Total,23,0,0,0,0,23,0,12,0,0,12,0,0,0
01583 Total,6,0,0,0,1,4,1,0,0,0,5,0,1,1
01585 Total,10,0,0,0,0,10,0,0,0,0,10,0,0,0
01588 Total,13,0,0,0,1,12,0,1,0,0,12,0,0,0
01590 Total,22,0,0,0,0,21,0,0,0,0,21,0,1,1
01602 Total,28,0,0,1,2,24,2,3,4,1,22,0,0,0
01603 Total,26,0,1,2,4,19,0,6,4,0,12,0,3,0
01604 Total,37,1,0,5,7,22,0,9,9,0,14,0,1,2
01605 Total,29,0,0,2,8,17,0,0,9,1,16,0,0,1
01606 Total,24,1,0,1,3,19,1,2,8,0,14,0,1,0
01607 Total,5,0,0,0,0,5,0,2,2,0,1,0,0,0
01608 Total,3,0,0,2,1,0,0,0,0,0,1,0,0,0
01609 Total,16,0,0,2,2,8,0,2,4,0,8,0,0,4
01610 Total,14,0,1,1,0,9,1,5,6,0,3,0,1,1
01611 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
01612 Total,14,0,0,1,0,13,0,0,0,0,14,0,0,0
01701 Total,27,1,1,1,2,24,0,6,1,0,19,0,2,0
01702 Total,27,0,0,0,9,14,0,6,2,0,11,0,1,4
01718 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01719 Total,6,0,0,0,0,6,0,2,0,0,4,0,0,0
01720 Total,25,0,1,0,2,22,1,6,3,0,14,0,3,0
01721 Total,19,0,0,0,2,17,0,5,0,1,11,0,1,0
01730 Total,7,0,0,0,0,7,0,1,1,0,6,0,0,0
01731 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
01740 Total,14,0,0,0,0,14,0,1,0,0,14,0,0,0
01741 Total,3,0,0,0,0,3,0,2,0,0,1,0,0,0
01742 Total,12,0,0,1,0,11,1,2,1,0,9,0,0,0
01745 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01746 Total,19,1,0,0,1,16,0,2,0,0,18,0,0,1
01747 Total,5,0,0,0,0,5,0,0,0,0,5,0,0,0
01748 Total,24,0,0,0,1,23,0,3,1,0,21,0,0,0
01749 Total,16,0,0,1,2,12,0,2,0,0,13,0,0,1
01752 Total,33,1,1,3,5,23,0,0,7,0,27,0,0,0
01754 Total,14,0,0,0,0,13,0,2,0,0,13,0,1,1
01756 Total,12,0,0,0,1,11,1,0,2,0,10,0,0,0
01757 Total,27,0,0,3,5,18,0,0,0,0,22,0,2,1
01760 Total,49,0,1,0,3,43,1,7,2,0,41,0,2,2
01770 Total,7,0,0,0,0,7,0,0,0,0,7,0,0,0
01772 Total,15,0,0,0,1,13,0,6,1,0,9,0,0,1
01773 Total,4,0,0,0,0,4,0,0,0,0,4,0,0,0
01775 Total,7,0,0,0,0,6,0,0,0,0,6,0,1,1
01776 Total,23,0,0,0,1,21,0,2,1,0,20,0,2,1
01778 Total,14,0,0,0,0,14,0,6,0,0,8,0,0,0
01801 Total,44,0,0,0,1,42,0,4,2,0,38,0,1,1
01803 Total,28,0,0,0,1,27,0,7,2,0,20,0,0,0
01810 Total,63,1,2,1,2,54,3,9,2,0,52,0,1,3
01821 Total,38,0,0,0,3,35,2,3,2,0,33,0,0,0
01824 Total,31,0,0,0,2,28,0,3,1,0,28,0,0,1
01826 Total,23,0,0,0,0,22,0,0,0,0,23,0,0,1
01827 Total,8,0,0,0,1,7,0,1,0,0,7,0,0,0
01830 Total,19,0,0,1,3,14,1,2,2,0,13,0,1,0
01832 Total,19,1,0,0,4,11,1,3,4,0,13,0,1,1
01833 Total,9,0,0,0,0,9,0,0,1,0,8,0,0,0
01834 Total,10,0,0,0,1,9,0,0,0,0,10,0,0,0
01835 Total,17,0,0,1,1,15,0,2,1,0,13,0,0,0
01840 Total,6,0,0,3,4,0,0,0,2,0,0,0,1,0
01841 Total,49,0,0,13,35,2,2,0,17,0,8,0,7,4
01843 Total,39,0,0,12,23,6,2,1,18,0,9,0,8,1
01844 Total,51,0,1,8,13,32,1,2,7,1,36,0,4,2
01845 Total,42,0,0,0,6,36,1,6,3,0,32,0,2,0
01850 Total,12,0,0,1,1,10,0,1,3,0,7,0,2,0
01851 Total,27,0,1,2,4,17,0,13,1,0,11,0,1,2
01852 Total,32,0,1,4,7,20,2,6,2,0,21,0,1,0
01854 Total,14,0,0,1,1,11,1,5,3,0,5,0,0,0
01860 Total,3,0,0,0,0,3,0,0,0,0,3,0,0,0
01862 Total,10,0,1,0,0,9,0,0,0,0,10,0,0,0
01863 Total,21,0,0,1,1,20,0,1,2,0,17,0,1,0
01864 Total,19,0,0,0,1,18,0,0,0,0,19,0,0,0
01867 Total,43,0,0,0,4,36,0,1,0,0,37,0,4,3
01876 Total,39,0,0,2,2,35,1,2,1,0,37,0,0,0
01879 Total,31,0,1,0,0,27,0,1,3,0,25,0,2,3
01880 Total,25,0,0,0,4,21,0,3,1,1,20,0,1,0
01886 Total,36,0,0,0,1,34,0,9,1,0,25,0,1,0
01887 Total,35,0,1,1,3,26,0,3,2,0,29,0,3,3
01890 Total,30,0,0,0,3,26,1,4,0,0,20,0,4,1
01901 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
01902 Total,38,0,2,4,20,15,2,6,13,1,9,0,2,0
01904 Total,25,0,0,2,4,19,3,2,5,0,17,0,0,0
01905 Total,24,0,1,1,11,11,0,4,8,0,8,0,1,0
01906 Total,27,0,0,0,5,20,0,4,0,0,22,0,0,2
01907 Total,19,0,0,0,0,19,0,2,1,0,17,0,1,0
01908 Total,1,0,0,0,0,1,0,1,0,0,0,0,0,0
01913 Total,15,0,0,0,0,15,1,1,0,0,15,0,0,0
01915 Total,50,0,0,1,4,45,0,5,4,0,41,0,2,0
01921 Total,10,0,0,0,1,9,1,0,0,0,10,0,0,0
01922 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01923 Total,44,0,0,0,2,41,0,3,2,0,38,0,2,1
01929 Total,6,0,0,0,0,5,0,0,0,0,4,0,1,1
01930 Total,34,0,0,1,1,32,1,1,1,0,31,0,0,0
01936 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01938 Total,17,1,0,0,1,15,0,1,0,0,15,0,1,0
01940 Total,16,0,0,1,0,15,0,2,0,0,14,0,0,0
01944 Total,3,0,0,0,1,2,1,0,0,0,2,0,0,0
01945 Total,33,0,1,1,1,29,0,1,0,0,32,0,0,1
01949 Total,10,0,0,0,0,9,0,2,0,0,9,0,0,0
01950 Total,24,0,0,0,1,23,0,0,0,0,24,0,0,0
01951 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01952 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
01960 Total,53,1,1,3,6,42,0,3,6,1,43,0,2,1
01965 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
01966 Total,9,0,0,0,0,6,0,0,0,0,6,0,3,3
01969 Total,4,0,0,0,0,4,0,1,0,0,3,0,0,0
01970 Total,35,0,1,0,7,26,0,1,3,0,28,0,1,0
01982 Total,8,0,0,0,1,6,0,0,0,0,7,0,1,1
01983 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
01984 Total,3,0,0,0,0,3,0,1,0,0,2,0,0,0
01985 Total,7,0,0,0,0,7,0,0,0,0,7,0,0,0
02019 Total,21,0,0,0,2,18,0,2,0,0,16,0,1,1
02020 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
02021 Total,18,0,0,1,1,16,0,1,3,0,15,0,0,0
02025 Total,9,0,0,0,0,9,0,0,0,0,9,0,0,0
02026 Total,17,0,0,0,0,17,0,1,1,0,15,0,0,0
02030 Total,9,0,0,0,0,9,0,2,0,0,6,0,1,0
02032 Total,4,0,0,0,1,2,0,1,0,0,3,0,0,1
02035 Total,22,0,0,0,0,22,1,1,1,0,20,0,0,0
02038 Total,45,0,0,0,4,41,0,4,3,0,38,0,1,0
02041 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
02043 Total,33,0,0,0,0,30,1,3,0,1,31,0,1,2
02045 Total,14,0,0,0,1,13,0,0,0,0,14,0,0,0
02048 Total,34,0,0,0,1,33,0,1,1,0,33,0,0,0
02050 Total,52,0,1,0,3,46,1,0,1,0,47,0,4,2
02051 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
02052 Total,11,0,0,0,0,11,1,1,2,0,11,0,0,0
02053 Total,15,0,0,0,0,15,0,0,1,0,14,0,0,0
02054 Total,25,0,1,1,1,23,0,2,0,0,21,0,1,0
02056 Total,13,0,0,0,0,13,0,1,0,0,13,0,0,0
02059 Total,2,0,0,0,0,2,0,0,0,0,2,0,0,0
02061 Total,22,1,0,1,2,19,0,1,0,0,20,0,1,1
02062 Total,21,1,0,1,3,17,1,2,2,0,17,0,0,0
02066 Total,25,0,0,0,0,25,1,1,1,0,23,0,0,0
02067 Total,23,0,0,1,0,22,1,5,1,0,18,0,0,0
02071 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
02072 Total,24,0,0,2,0,20,0,2,6,1,13,0,1,1
02081 Total,22,0,0,0,0,22,1,0,1,0,20,0,0,0
02090 Total,33,0,0,0,0,31,1,0,1,0,30,0,2,2
02093 Total,24,0,0,0,0,23,0,1,0,0,23,0,0,1
02108 Total,2,0,0,1,0,1,0,0,0,0,2,0,0,0
02109 Total,1,0,0,0,0,1,0,0,0,0,1,0,0,0
02111 Total,8,0,0,0,0,8,0,8,0,0,0,0,0,0
02113 Total,1,0,0,0,1,0,0,0,0,0,1,0,0,0
02114 Total,5,0,0,1,0,4,0,3,0,0,2,0,0,0
02115 Total,5,0,0,0,1,4,0,3,1,0,1,0,0,0
02116 Total,12,0,0,0,3,9,0,4,2,0,6,0,0,0
02118 Total,18,1,0,2,2,13,0,6,9,0,3,0,1,1
02119 Total,17,1,0,3,6,8,0,0,13,0,1,0,1,0
02120 Total,5,0,0,0,0,5,0,1,4,0,0,0,0,0
02121 Total,28,0,0,0,12,16,0,2,22,0,1,0,1,0
02122 Total,22,0,0,4,2,17,0,9,8,0,5,0,0,0
02124 Total,58,0,0,2,8,49,4,8,35,1,10,0,3,0
02125 Total,25,0,0,2,3,18,1,6,16,0,2,0,2,1
02126 Total,26,0,0,2,4,20,2,0,23,0,2,0,0,0
02127 Total,18,0,0,2,3,12,0,3,5,1,7,0,1,1
02128 Total,42,0,3,3,28,10,4,3,3,1,16,0,3,0
02129 Total,6,0,0,2,1,3,0,1,1,0,2,0,0,0
02130 Total,18,0,0,1,6,8,0,3,5,0,8,0,1,2
02131 Total,30,2,0,1,9,18,1,3,13,0,10,0,1,0
02132 Total,31,0,0,0,2,29,1,8,3,0,24,0,0,0
02134 Total,6,0,0,1,1,4,0,3,1,0,0,0,1,0
02135 Total,23,0,0,1,2,21,0,9,5,0,8,0,0,0
02136 Total,52,0,1,7,10,36,1,3,38,2,6,0,1,0
02138 Total,17,0,0,0,2,14,0,3,4,0,8,0,2,1
02139 Total,13,0,0,1,4,9,0,1,3,0,7,0,1,0
02140 Total,16,0,1,0,0,15,0,6,6,0,4,0,0,0
02141 Total,6,0,0,2,2,2,0,1,2,0,3,0,1,0
02143 Total,11,0,0,1,1,7,1,2,3,0,3,0,2,2
02144 Total,8,0,1,0,2,6,0,4,0,0,3,0,0,0
